Year,GDP,Inflation,Population,Unemployment,Interest_Rate,Fiscal_Deficit,Revenue,Expenditure
2021,3167270623260.47,5.13140747176369,1407563842.0,,,,9360139.7,4629321.0
2022,3346107287730.93,6.69903414079852,1417173173.0,,,,19317648.4,10253892.0
2023,3638489096033.86,5.64914318907925,1417173173.0,,,,10136424.6,5874046.0
